Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK,SH,SHA,S,S%,SA,SV%,PDO
1,Detroit Red Wings*,32.1,82,54,21,7,115,0.701,252,179,0.93,0.04,5.38,81,391,20.72,57,357,84.03,5,7,2820,8.9,1930,0.907,99.9
2,San Jose Sharks*,27.7,82,49,23,10,108,0.659,216,187,0.47,0.12,5.06,70,374,18.72,44,310,85.81,7,9,2428,8.9,1981,0.906,99.5
3,Montreal Canadiens*,27.6,82,47,25,10,104,0.634,257,216,0.35,-0.14,5.9,90,374,24.06,60,342,82.46,8,3,2382,10.8,2589,0.917,102.2
4,Anaheim Ducks*,29.7,82,47,27,8,102,0.622,197,184,0.3,0.13,4.83,60,361,16.62,69,408,83.09,8,7,2241,8.8,2299,0.92,100.8
5,Pittsburgh Penguins*,26.9,82,47,27,8,102,0.622,240,212,0.24,-0.14,5.65,77,378,20.37,68,357,80.95,6,10,2268,10.6,2523,0.916,102
6,New Jersey Devils*,29.2,82,46,29,7,99,0.604,198,193,0,-0.11,4.91,50,320,15.63,54,314,82.8,6,7,2362,8.4,2257,0.914,99.9
7,Minnesota Wild*,27.7,82,44,28,10,98,0.598,220,210,0.16,0.1,5.38,64,338,18.93,49,330,85.15,3,10,2218,9.9,2469,0.915,101.3
8,Dallas Stars*,29,82,45,30,7,97,0.591,237,204,0.54,0.11,5.48,64,354,18.08,51,354,85.59,13,8,2187,10.8,2137,0.905,101.1
9,New York Rangers*,27.4,82,42,27,13,97,0.591,205,190,0.05,-0.12,5.02,61,370,16.49,53,343,84.55,4,6,2579,7.9,2124,0.911,99.4
10,Colorado Avalanche*,28.5,82,44,31,7,95,0.579,224,216,0.24,0.09,5.49,49,335,14.63,56,301,81.4,2,5,2349,9.5,2237,0.903,100.1
11,Philadelphia Flyers*,28.1,82,42,29,11,95,0.579,245,227,0.06,-0.12,5.87,84,385,21.82,65,388,83.25,13,6,2358,10.4,2609,0.913,101.5
12,Boston Bruins*,28.1,82,41,29,12,94,0.573,206,215,-0.2,-0.08,5.29,56,319,17.55,71,332,78.61,9,6,2339,8.8,2495,0.914,100.4
13,Ottawa Senators*,28.5,82,43,31,8,94,0.573,258,242,0.06,-0.11,6.2,60,328,18.29,72,380,81.05,18,6,2471,10.4,2456,0.901,100.6
14,Washington Capitals*,27.3,82,43,31,8,94,0.573,238,227,-0.06,-0.19,5.77,65,346,18.79,68,349,80.52,5,8,2538,9.4,2259,0.9,99.6
15,Calgary Flames*,29.5,82,42,30,10,94,0.573,226,224,0.13,0.1,5.56,59,352,16.76,72,389,81.49,9,8,2316,9.8,2335,0.904,100.3
16,Carolina Hurricanes,29.3,82,43,33,6,92,0.561,250,246,-0.15,-0.18,6.11,79,420,18.81,75,355,78.87,4,13,2669,9.4,2368,0.896,99.3
17,Nashville Predators*,28.1,82,41,32,9,91,0.555,227,224,0.13,0.12,5.6,53,358,14.8,49,335,85.37,7,10,2425,9.4,2440,0.908,100.3
18,Buffalo Sabres,26.8,82,39,31,12,90,0.549,251,233,0.05,-0.11,6.06,66,366,18.03,56,333,83.18,9,8,2478,10.1,2326,0.9,100.2
19,Edmonton Oilers,27.1,82,41,35,6,88,0.537,220,247,-0.07,0.12,5.93,57,344,16.57,56,366,84.7,7,10,2156,10.2,2573,0.904,100.6
20,Vancouver Canucks,28.1,82,39,33,10,88,0.537,207,206,0.08,0.11,5.22,63,369,17.07,64,368,82.61,8,7,2252,9.2,2367,0.913,100.6
21,Chicago Blackhawks,26.8,82,40,34,8,88,0.537,234,231,0.16,0.12,5.78,58,365,15.89,69,385,82.08,17,6,2298,10.2,2346,0.902,100.4
22,Florida Panthers,28.1,82,38,35,9,85,0.518,211,220,-0.29,-0.17,5.39,60,313,19.17,66,374,82.35,4,3,2549,8.3,2752,0.92,100.4
23,Toronto Maple Leafs,28.4,82,36,35,11,83,0.506,228,256,-0.42,-0.06,5.99,61,343,17.78,77,352,78.13,4,10,2542,9,2402,0.893,98.8
24,Phoenix Coyotes,26.5,82,38,37,7,83,0.506,209,225,-0.04,0.17,5.43,63,339,18.58,64,332,80.72,11,12,2500,8.4,2518,0.911,99.6
25,Columbus Blue Jackets,27.2,82,34,36,12,80,0.488,190,210,-0.16,0.15,5.01,53,356,14.89,63,378,83.33,8,5,2381,8,2249,0.907,99
26,St. Louis Blues,28.4,82,33,36,13,79,0.482,202,232,-0.24,0.16,5.39,47,334,14.07,56,359,84.4,3,13,2141,9.4,2249,0.897,99.4
27,New York Islanders,28.3,82,35,38,9,79,0.482,189,240,-0.65,-0.05,5.33,48,330,14.55,68,375,81.87,10,15,2431,7.8,2488,0.904,98.6
28,Atlanta Thrashers,29.3,82,34,40,8,76,0.463,207,266,-0.8,-0.12,5.95,52,316,16.46,75,354,78.81,13,10,2115,9.8,2782,0.904,100.3
29,Tampa Bay Lightning,27.9,82,31,42,9,71,0.433,221,266,-0.67,-0.13,5.98,57,296,19.26,56,312,82.05,7,7,2354,9.4,2311,0.885,98.3
30,Los Angeles Kings,27.7,82,32,43,7,71,0.433,226,263,-0.24,0.19,6.06,64,367,17.44,68,309,77.99,11,4,2349,9.6,2625,0.9,99.8
,League Average,28.2,82,41,32,9,91,0.555,228,228,0,0,5.57,62,351,17.75,62,351,82.25,8,8,2553,8.7,2553,0.907,
