Rk,Team,AvAge,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK,SH,SHA,S,S%,SA,SV%,PDO
1,Detroit Red Wings*,31.9,82,51,17,10,4,116,0.707,251,187,0.83,0.05,5.34,73,359,20.33,48,343,86.01,9,7,2538,9.9,2159,0.913,
2,Boston Bruins*,28.1,82,43,24,6,9,101,0.616,236,201,0.33,-0.09,5.33,39,283,13.78,45,349,87.11,14,5,2595,9.1,2057,0.902,
3,Toronto Maple Leafs*,29.6,82,43,25,10,4,100,0.61,249,207,0.44,-0.08,5.56,54,349,15.47,51,328,84.45,9,6,2339,10.6,2044,0.899,
4,San Jose Sharks*,27.9,82,44,27,8,3,99,0.604,248,199,0.62,0.02,5.45,59,369,15.99,54,381,85.83,15,6,2227,11.1,2335,0.915,
5,Colorado Avalanche*,27.9,82,45,28,8,1,99,0.604,212,169,0.58,0.06,4.65,62,344,18.02,41,315,86.98,7,7,2252,9.4,2177,0.922,
6,St. Louis Blues*,29.3,82,43,27,8,4,98,0.598,227,188,0.54,0.07,5.06,62,356,17.42,56,379,85.22,5,7,2378,9.5,1847,0.898,
7,Philadelphia Flyers*,28.9,82,42,27,10,3,97,0.591,234,192,0.41,-0.11,5.2,39,300,13,40,293,86.35,8,10,2442,9.6,2139,0.91,
8,New York Islanders*,27.5,82,42,28,8,4,96,0.585,239,220,0.15,-0.08,5.6,59,363,16.25,52,366,85.79,17,10,2319,10.3,2285,0.904,
9,Chicago Blackhawks*,29.4,82,41,27,13,1,96,0.585,216,207,0.19,0.08,5.16,54,302,17.88,63,340,81.47,4,2,2271,9.5,2077,0.9,
10,New Jersey Devils*,28.9,82,41,28,9,4,95,0.579,205,187,0.15,-0.07,4.78,44,261,16.86,43,265,83.77,2,8,2445,8.4,1900,0.902,
11,Los Angeles Kings*,28.9,82,40,27,11,4,95,0.579,214,190,0.35,0.05,4.93,73,353,20.68,49,366,86.61,5,6,2110,10.1,2051,0.907,
12,Phoenix Coyotes*,27.2,82,40,27,9,6,95,0.579,228,210,0.29,0.07,5.34,53,340,15.59,60,356,83.15,8,6,2179,10.5,2349,0.911,
13,Ottawa Senators*,26.3,82,39,27,9,7,94,0.573,243,208,0.36,-0.07,5.5,55,331,16.62,48,307,84.36,11,5,2469,9.8,2125,0.902,
14,Vancouver Canucks*,26.3,82,42,30,7,3,94,0.573,254,211,0.59,0.07,5.67,69,372,18.55,57,379,84.96,3,9,2326,10.9,2078,0.899,
15,Edmonton Oilers,26.1,82,38,28,12,4,92,0.561,205,182,0.34,0.06,4.72,51,333,15.32,50,348,85.63,12,7,2256,9.1,2120,0.914,
16,Carolina Hurricanes*,29.2,82,35,26,16,5,91,0.555,217,217,-0.09,-0.09,5.29,63,391,16.11,54,332,83.73,4,11,2347,9.2,2214,0.902,
17,Dallas Stars,30.5,82,36,28,13,5,90,0.549,215,213,0.09,0.07,5.22,60,350,17.14,59,319,81.5,7,8,2335,9.2,2135,0.9,
18,Montreal Canadiens*,28.4,82,36,31,12,3,87,0.53,207,209,-0.1,-0.08,5.07,45,301,14.95,38,277,86.28,7,4,2092,9.9,2597,0.92,
19,Washington Capitals,30.1,82,36,33,11,2,85,0.518,228,240,-0.25,-0.1,5.71,58,299,19.4,58,325,82.15,2,8,2293,9.9,2357,0.898,
20,Buffalo Sabres,26,82,35,35,11,1,82,0.5,213,200,0.09,-0.07,5.04,50,375,13.33,41,304,86.51,7,6,2295,9.3,2120,0.906,
21,New York Rangers,28.9,82,36,38,4,4,80,0.488,227,258,-0.43,-0.05,5.91,48,326,14.72,80,398,79.9,8,5,2392,9.5,2618,0.901,
22,Calgary Flames,27.6,82,32,35,12,3,79,0.482,201,220,-0.15,0.08,5.13,55,364,15.11,66,356,81.46,10,5,2207,9.1,2242,0.902,
23,Minnesota Wild,27.3,82,26,35,12,9,73,0.445,195,238,-0.41,0.11,5.28,55,373,14.75,62,362,82.87,11,9,1954,10,2296,0.896,
24,Nashville Predators,26.8,82,28,41,13,0,69,0.421,196,230,-0.31,0.1,5.2,48,337,14.24,50,354,85.88,6,8,2019,9.7,2313,0.901,
25,Tampa Bay Lightning,26.4,82,27,40,11,4,69,0.421,178,219,-0.58,-0.08,4.84,46,312,14.74,40,273,85.35,6,9,2179,8.2,2523,0.913,
26,Mighty Ducks of Anaheim,27,82,29,42,8,3,69,0.421,175,198,-0.2,0.08,4.55,43,373,11.53,46,330,86.06,4,9,2142,8.2,2253,0.912,
27,Pittsburgh Penguins,26.5,82,28,41,8,5,69,0.421,198,249,-0.66,-0.04,5.45,47,335,14.03,57,352,83.81,5,10,2215,8.9,2394,0.896,
28,Florida Panthers,26.1,82,22,44,10,6,60,0.366,180,250,-0.92,-0.07,5.24,50,341,14.66,76,393,80.66,8,7,2205,8.2,2666,0.906,
29,Columbus Blue Jackets,28,82,22,47,8,5,57,0.348,164,255,-0.97,0.14,5.11,50,356,14.04,52,306,83.01,3,8,2046,8,2469,0.897,
30,Atlanta Thrashers,27.1,82,19,47,11,5,54,0.329,187,288,-1.27,-0.04,5.79,37,306,12.09,65,358,81.84,3,12,1984,9.4,2911,0.901,
,League Average,28,82,36,32,10,4,86,0.525,215,215,0,0,5.24,53,338,15.77,53,338,84.23,7,7,2429,,2429,0.906,
