Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK,SH,SHA,S,S%,SA,SV%,PDO
1,Detroit Red Wings*,32.1,82,58,16,8,124,0.756,301,206,1.03,-0.14,6.27,102,461,22.13,67,461,85.47,7,10,2796,10.8,2180,0.906,
2,Ottawa Senators*,27.3,82,52,21,9,113,0.689,312,205,1.18,-0.08,6.4,102,490,20.82,73,476,84.66,25,11,2811,11.1,2344,0.913,
3,Dallas Stars*,29.7,82,53,23,6,112,0.683,253,217,0.61,0.04,5.89,88,498,17.67,82,504,83.73,10,7,2333,10.8,2099,0.897,
4,Carolina Hurricanes*,29.2,82,52,22,8,112,0.683,286,258,0.29,-0.13,6.76,95,531,17.89,81,445,81.8,17,13,2553,11.2,2497,0.897,
5,Buffalo Sabres*,26.9,82,52,24,6,110,0.671,276,234,0.5,-0.01,6.34,101,477,21.17,59,439,86.56,10,17,2510,11,2502,0.906,
6,Nashville Predators*,27.6,82,49,25,8,106,0.646,253,224,0.32,-0.07,5.93,94,512,18.36,82,533,84.62,12,13,2379,10.6,2661,0.916,
7,Calgary Flames*,28,82,46,25,11,103,0.628,216,193,0.3,0.08,5.1,87,478,18.2,80,508,84.25,8,7,2299,9.4,2260,0.915,
8,New Jersey Devils*,30,82,46,27,9,101,0.616,233,225,0.05,-0.11,5.74,78,441,17.69,63,349,81.95,3,6,2393,9.7,2403,0.906,
9,Philadelphia Flyers*,28.2,82,45,26,11,101,0.616,263,253,0,-0.1,6.41,80,444,18.02,97,465,79.14,19,6,2552,10.3,2370,0.893,
10,New York Rangers*,28.2,82,44,26,12,100,0.61,250,211,0.38,-0.14,5.76,83,442,18.78,79,486,83.74,4,9,2448,10.2,2358,0.911,
11,San Jose Sharks*,26.5,82,44,27,11,99,0.604,265,235,0.36,0.06,6.2,91,500,18.2,77,399,80.7,10,11,2483,10.7,2180,0.892,
12,Mighty Ducks of Anaheim*,28.2,82,43,27,12,98,0.598,251,222,0.37,0.06,5.89,87,480,18.13,84,510,83.53,9,13,2585,9.7,2431,0.909,
13,Edmonton Oilers*,28.7,82,41,28,13,95,0.579,249,242,0.15,0.09,6.18,88,485,18.14,76,478,84.1,15,5,2442,10.2,2094,0.884,
14,Colorado Avalanche*,29.6,82,43,30,9,95,0.579,280,251,0.39,0.07,6.59,89,473,18.82,69,448,84.6,11,12,2464,11.4,2415,0.896,
15,Montreal Canadiens*,27.9,82,42,31,9,93,0.567,241,244,-0.01,0.04,5.98,89,463,19.22,91,481,81.08,10,6,2470,9.8,2507,0.903,
16,Tampa Bay Lightning*,29.3,82,43,33,6,92,0.561,246,256,-0.18,-0.08,6.24,81,485,16.7,72,391,81.59,11,11,2594,9.5,2260,0.887,
17,Vancouver Canucks,27.9,82,42,32,8,92,0.561,252,251,0.11,0.1,6.23,96,526,18.25,93,512,81.84,6,10,2358,10.7,2466,0.898,
18,Atlanta Thrashers,28.9,82,41,33,8,90,0.549,276,270,-0.03,-0.1,6.78,100,527,18.98,102,492,79.27,13,10,2522,10.9,2483,0.891,
19,Toronto Maple Leafs,29.4,82,41,33,8,90,0.549,254,263,-0.11,0.05,6.43,107,501,21.36,99,496,80.04,14,12,2323,10.9,2509,0.895,
20,Los Angeles Kings,28.6,82,42,35,5,89,0.543,243,269,-0.15,0.11,6.33,77,541,14.23,104,489,78.73,15,12,2394,10.2,2459,0.891,
21,Florida Panthers,27.6,82,37,34,11,85,0.518,236,252,-0.28,-0.07,6.06,63,411,15.33,91,514,82.3,5,12,2724,8.7,2853,0.912,
22,Minnesota Wild,27.7,82,38,36,8,84,0.512,226,212,0.28,0.08,5.44,77,454,16.96,55,436,87.39,11,7,2194,10.3,2460,0.914,
23,Phoenix Coyotes,28.4,82,38,39,5,81,0.494,242,268,-0.19,0.12,6.3,96,541,17.74,98,513,80.9,9,11,2318,10.4,2479,0.892,
24,New York Islanders,27.7,82,36,40,6,78,0.476,221,275,-0.62,-0.04,6.2,76,450,16.89,99,476,79.2,5,15,2481,8.9,2549,0.892,
25,Boston Bruins,28,82,29,37,16,74,0.451,228,258,-0.36,0.08,6.05,62,418,14.83,78,479,83.72,9,10,2511,9.1,2633,0.902,
26,Columbus Blue Jackets,27.4,82,35,43,4,74,0.451,215,276,-0.66,0.02,6.12,64,451,14.19,95,523,81.84,10,8,2250,9.6,2762,0.9,
27,Washington Capitals,27.6,82,29,41,12,70,0.427,230,300,-0.86,-0.02,6.62,72,490,14.69,116,550,78.91,15,18,2445,9.4,2880,0.896,
28,Chicago Blackhawks,26.8,82,26,43,13,65,0.396,209,279,-0.86,0.04,6.05,51,417,12.23,88,547,83.91,6,12,2480,8.4,2417,0.885,
29,Pittsburgh Penguins,26.8,82,22,46,14,58,0.354,243,310,-0.89,-0.01,6.83,94,495,18.99,113,533,78.8,13,16,2297,10.6,2723,0.886,
30,St. Louis Blues,29,82,21,46,15,57,0.348,193,284,-1.09,0.07,5.96,75,512,14.65,82,461,82.21,6,8,2335,8.3,2510,0.887,
,League Average,28.3,82,41,32,9,91,0.557,253,253,0,0,6.17,85,480,17.68,85,480,82.32,11,11,2621,9.5,2621,0.899,
